*Node,xPos,yPos,zPos,xDOF,yDOF,zDOF,forceX,forceY,forceZ,
1,0.400000006,0,0.5,0,0,1,0,0,0,
2,1,0,0.5,0,0,1,0,0,0,
3,1,1,0.5,0,0,1,0,0,0,
4,0,1,0.5,0,0,1,0,0,0,
5,0,0.400000006,0.5,0,0,1,0,0,0,
6,-1,0,0.5,1,1,1,0,0,0,
7,-0.400000006,0,0.5,0,0,1,0,0,0,
8,-1,1,0.5,1,1,1,0,0,0,
9,0,-0.400000006,0.5,0,0,1,0,0,0,
10,0,-1,0.5,0,0,1,0,0,0,
11,1,-1,0.5,0,0,1,0,0,0,
12,-1,-1,0.5,1,1,1,0,0,0,
13,0.519999981,0,0.5,0,0,1,0,0,0,
14,0.639999986,0,0.5,0,0,1,0,0,0,
15,0.75999999,0,0.5,0,0,1,0,0,0,
16,0.879999995,0,0.5,0,0,1,0,0,0,
17,1,0.125,0.5,0,0,1,0,0,0,
18,1,0.25,0.5,0,0,1,0,0,0,
19,1,0.375,0.5,0,0,1,0,0,0,
20,1,0.5,0.5,0,0,1,0,0,0,
21,1,0.625,0.5,0,0,1,0,0,0,
22,1,0.75,0.5,0,0,1,0,0,0,
23,1,0.875,0.5,0,0,1,0,0,0,
24,0.875,1,0.5,0,0,1,0,0,0,
25,0.75,1,0.5,0,0,1,0,0,0,
26,0.625,1,0.5,0,0,1,0,0,0,
27,0.5,1,0.5,0,0,1,0,0,0,
28,0.375,1,0.5,0,0,1,0,0,0,
29,0.25,1,0.5,0,0,1,0,0,0,
30,0.125,1,0.5,0,0,1,0,0,0,
31,0,0.879999995,0.5,0,0,1,0,0,0,
32,0,0.75999999,0.5,0,0,1,0,0,0,
33,0,0.639999986,0.5,0,0,1,0,0,0,
34,0,0.519999981,0.5,0,0,1,0,0,0,
35,0.123606801,0.380422592,0.5,0,0,1,0,0,0,
36,0.235114098,0.323606789,0.5,0,0,1,0,0,0,
37,0.323606789,0.235114098,0.5,0,0,1,0,0,0,
38,0.380422592,0.123606801,0.5,0,0,1,0,0,0,
39,-0.879999995,0,0.5,0,0,1,0,0,0,
40,-0.75999999,0,0.5,0,0,1,0,0,0,
41,-0.639999986,0,0.5,0,0,1,0,0,0,
42,-0.519999981,0,0.5,0,0,1,0,0,0,
43,-0.380422592,0.123606801,0.5,0,0,1,0,0,0,
44,-0.323606789,0.235114098,0.5,0,0,1,0,0,0,
45,-0.235114098,0.323606789,0.5,0,0,1,0,0,0,
46,-0.123606801,0.380422592,0.5,0,0,1,0,0,0,
47,-0.125,1,0.5,0,0,1,0,0,0,
48,-0.25,1,0.5,0,0,1,0,0,0,
49,-0.375,1,0.5,0,0,1,0,0,0,
50,-0.5,1,0.5,0,0,1,0,0,0,
51,-0.625,1,0.5,0,0,1,0,0,0,
52,-0.75,1,0.5,0,0,1,0,0,0,
53,-0.875,1,0.5,0,0,1,0,0,0,
54,-1,0.875,0.5,1,1,1,0,0,0,
55,-1,0.75,0.5,1,1,1,0,0,0,
56,-1,0.625,0.5,1,1,1,0,0,0,
57,-1,0.5,0.5,1,1,1,0,0,0,
58,-1,0.375,0.5,1,1,1,0,0,0,
59,-1,0.25,0.5,1,1,1,0,0,0,
